cohort,stratum,signature,signature_type,n_responder,n_non_responder,mean_responder,mean_non_responder,cliffs_delta_R_vs_NR,AUC_nonresponse_high,hedges_g_R_minus_NR,variance_g,se_g,ci95_low_g,ci95_high_g
GSE16879,GSE16879_UC_colon,West_2017_OSM_OSMR,published_benchmark,8,16,-0.3022917435575212,0.48355228553859375,-0.625,0.8125,-0.9944698167439053,0.20997659582760583,0.4582320327384434,-1.8926046009112545,-0.09633503257655629
GSE23597,GSE23597_UC_colon,myeloid_inflammation,current_module,25,7,-0.21446490859322412,0.7659461021186577,-0.5771428571428572,0.7885714285714286,-1.1987355804926652,0.2068065927227943,0.4547599286687365,-2.0900650406833887,-0.3074061203019417
GSE23597,GSE23597_UC_colon,epithelial_ifn_damage,current_module,25,7,-0.22312528744293325,0.7968760265819043,-0.5428571428571428,0.7714285714285715,-1.5093218523872745,0.2208246837587054,0.46991986950830816,-2.430364796623558,-0.5882789081509905
GSE23597,GSE23597_UC_colon,epithelial_barrier_maturity,current_module,25,7,0.05579281890883707,-0.1992600675315607,0.15428571428571428,0.4228571428571429,0.3679737147913049,0.1851138871034314,0.43024863405179037,-0.47531360795020416,1.211261037532814
GSE23597,GSE23597_UC_colon,stromal_fibroinflammatory,current_module,25,7,-0.1494071394304137,0.5335969265371926,-0.3485714285714286,0.6742857142857143,-0.9851987858051429,0.1990340869830083,0.4461323648683295,-1.8596182209470689,-0.11077935066321698
GSE23597,GSE23597_UC_colon,Arijs_2009_top5,published_benchmark,25,7,-0.2679860394374362,0.9570929979908435,-0.7371428571428571,0.8685714285714285,-1.6714201169278213,0.2294178963116597,0.47897588280795483,-2.610212847231413,-0.7326273866242299
GSE23597,GSE23597_UC_colon,West_2017_OSM22,published_benchmark,25,7,-0.19165951779710066,0.6844982778467881,-0.52,0.76,-1.4437938229574305,0.21759948624397674,0.46647560090960466,-2.3580860007402555,-0.5295016451746054
GSE23597,GSE23597_UC_colon,West_2017_OSM_OSMR,published_benchmark,25,7,-0.220435837171272,0.787270847040258,-0.68,0.84,-1.4109917318635654,0.21603877064693192,0.46479971024833044,-2.3219991639502933,-0.4999842997768378
GSE92415,GSE92415_UC_colon,myeloid_inflammation,current_module,32,27,-0.2816769188995675,0.33383931128837635,-0.44212962962962965,0.7210648148148148,-0.743032092801539,0.07312999046627418,0.2704255728777776,-1.273066215641983,-0.212997969961095
GSE92415,GSE92415_UC_colon,epithelial_ifn_damage,current_module,32,27,-0.09848622180572772,0.11672441102901093,-0.2013888888888889,0.6006944444444444,-0.31855579387554334,0.06917719312310439,0.26301557581843776,-0.8340663224796814,0.1969547347285947
GSE92415,GSE92415_UC_colon,epithelial_barrier_maturity,current_module,32,27,0.11953833228598075,-0.1416750604870876,0.2152777777777778,0.3923611111111111,0.36099663543088834,0.0694301823948653,0.26349607662138974,-0.1554556747470356,0.8774489456088123
GSE92415,GSE92415_UC_colon,stromal_fibroinflammatory,current_module,32,27,-0.08881850658112037,0.1052663781702164,-0.16898148148148148,0.5844907407407407,-0.26289435993467636,0.06889329532199724,0.2624753232629636,-0.7773459935300849,0.2515572736607322
GSE92415,GSE92415_UC_colon,Arijs_2009_top5,published_benchmark,32,27,-0.1681094171554631,0.19924079070277068,-0.31712962962962965,0.6585648148148148,-0.40933386031179225,0.06975681080192961,0.2641151468619882,-0.9269995481612892,0.1083318275377047
GSE92415,GSE92415_UC_colon,West_2017_OSM22,published_benchmark,32,27,-0.20427046470528026,0.24209832853959096,-0.375,0.6875,-0.6437568578290315,0.07192232556336955,0.26818338047569157,-1.169396283561387,-0.11811743209667602
GSE92415,GSE92415_UC_colon,West_2017_OSM_OSMR,published_benchmark,32,27,-0.2159025139993672,0.25588446103628826,-0.33564814814814814,0.6678240740740741,-0.5535049496710429,0.07097447325905759,0.2664103475074825,-1.0756692307857088,-0.03134066855637718
E-MTAB-7604,E-MTAB-7604_IBD_colon,myeloid_inflammation,current_module,10,17,-0.08203511185302742,0.49158870188191484,-0.3764705882352941,0.6882352941176471,-0.6873566154760462,0.1682727117485384,0.4102105700107426,-1.4913693326971016,0.11665610174500929
E-MTAB-7604,E-MTAB-7604_IBD_colon,epithelial_ifn_damage,current_module,10,17,0.018198671821376012,-0.13374479856912055,0.12941176470588237,0.43529411764705883,0.17844506116295686,0.1594603822088337,0.39932490807465754,-0.6042317586633719,0.9611218809892856
E-MTAB-7604,E-MTAB-7604_IBD_colon,epithelial_barrier_maturity,current_module,10,17,0.38720110315178574,-0.08483726366667091,0.32941176470588235,0.3352941176470588,0.5967003814117585,0.16594455631530347,0.4073629294809525,-0.20173096037090832,1.3951317231944254
E-MTAB-7604,E-MTAB-7604_IBD_colon,stromal_fibroinflammatory,current_module,10,17,0.14738190284477345,0.3978143134804482,-0.24705882352941178,0.6235294117647059,-0.35356045080087584,0.16132362925917507,0.40165112879111275,-1.1407966632314568,0.4336757616297051
