lineage,Disease,stratum,n_remission,n_non_remission,median_remission,median_non_remission,median_diff,mannwhitney_p,cliffs_delta,fdr_q,analysis,fdr_q_global
myeloid,CD,C1Qhi IL1Bhi macro,10,5,0.10972454585658128,0.12358697640387781,-0.013862430547296523,0.8591408591408591,-0.08,0.9947946790052054,within_lineage_proportion,0.9910771581359817
epicolonic,UC,Non ileal CT colonocyte,4,13,0.13947238840415394,0.13043478260869565,0.009037605795458287,0.8705882352941177,-0.07692307692307693,0.9527472527472527,within_lineage_proportion,0.9910771581359817
epicolonic,UC,Non ileal enterocyte PLCG2hi,4,13,0.11893539100386066,0.11438661928397309,0.004548771719887573,0.8705882352941177,-0.07692307692307693,0.9527472527472527,within_lineage_proportion,0.9910771581359817
fibperi,CD,C3hi CCL19pos fibroblast,6,3,0.021969431607820732,0.015760365099009903,0.0062090665088108295,0.9047619047619047,0.1111111111111111,0.9924450549450549,within_lineage_proportion,0.9910771581359817
fibperi,CD,NOTCH3hi TNCint CCL19pos pericyte,10,4,0.02975249339229956,0.02141553303269432,0.008336960359605239,0.945054945054945,0.05,0.9924450549450549,within_lineage_proportion,0.9910771581359817
myeloid,UC,C1Qhi IL1Bhi macro,4,12,0.12706503600291796,0.10729577464788732,0.01976926135503064,0.9527472527472527,0.041666666666666664,1.0,within_lineage_proportion,0.9910771581359817
epicolonic,UC,Non ileal tuft,4,12,0.009955967700670561,0.010285158130626184,-0.0003291904299556232,0.9527472527472527,0.041666666666666664,0.9527472527472527,within_lineage_proportion,0.9910771581359817
fibperi,UC,C3hi CCL19pos fibroblast,4,12,0.01755634464336458,0.0193834118550084,-0.0018270672116438222,0.9527472527472527,-0.041666666666666664,0.9924450549450549,within_lineage_proportion,0.9910771581359817
myeloid,UC,CD1Chi DC,4,13,0.12064192936894436,0.12933753943217666,-0.0086956100632323,0.9563025210084034,-0.038461538461538464,1.0,within_lineage_proportion,0.9910771581359817
myeloid,UC,Mast,4,11,0.11779417504916925,0.08771929824561403,0.030074876803555223,1.0,0.0,1.0,within_lineage_proportion,1.0
fibperi,UC,CD74hi HLADRB1hi arterial pericyte,4,13,0.14179048711840114,0.14021739130434782,0.0015730958140533213,1.0,0.0,1.0,within_lineage_proportion,1.0
