cohort,stratum,signature,signature_type,development_overlap,n_responder,n_non_responder,hedges_g_R_minus_NR,variance_g,ci95_low_g,ci95_high_g,oriented_AUC_response,mannwhitney_p,axis,level
E-MTAB-7604,tissue_group:ileum,epithelial_barrier_maturity,current_module,False,9,8,0.9455270581065153,0.26591182503149646,-0.06517906487928948,1.95623318109232,0.7083333333333333,0.16717400246812014,tissue_group,ileum
E-MTAB-7604,tissue_group:ileum,stromal_fibroinflammatory,current_module,False,9,8,-0.1702596666018788,0.2370773895801572,-1.1245952992862778,0.7840759660825201,0.611111111111111,0.4807075277663513,tissue_group,ileum
E-MTAB-7604,drug:adalimumab,myeloid_inflammation,current_module,False,10,17,-0.9203921685109032,0.17576596428888874,-1.7421114200878605,-0.09867291693394586,0.7176470588235293,0.0668543360307648,drug,adalimumab
E-MTAB-7604,drug:adalimumab,epithelial_ifn_damage,current_module,False,10,17,-0.29545368308362313,0.16056938698871825,-1.0808474423253553,0.48994007615810914,0.5705882352941176,0.5636619045071303,drug,adalimumab
E-MTAB-7604,drug:adalimumab,epithelial_barrier_maturity,current_module,False,10,17,0.23287578885961455,0.15990815207250444,-0.5508991514145263,1.0166507291337554,0.5470588235294118,0.7064914510409575,drug,adalimumab
E-MTAB-7604,drug:adalimumab,stromal_fibroinflammatory,current_module,False,10,17,-0.27429190825304484,0.16032825043042664,-1.0590957097560236,0.510511893249934,0.6176470588235294,0.32753646662360936,drug,adalimumab
E-MTAB-7604,drug:infliximab,myeloid_inflammation,current_module,False,9,8,-0.6910481142142747,0.25202936098308126,-1.6750176224575968,0.2929213940290474,0.7083333333333333,0.16717400246812014,drug,infliximab
E-MTAB-7604,drug:infliximab,epithelial_ifn_damage,current_module,False,9,8,0.42005923077817076,0.24199276968984273,-0.5441188772705963,1.3842373388269378,0.3888888888888889,0.4807075277663513,drug,infliximab
E-MTAB-7604,drug:infliximab,epithelial_barrier_maturity,current_module,False,9,8,1.0665388810887138,0.27402795060690993,0.040524370932300435,2.092553391245127,0.7916666666666666,0.046400658165364046,drug,infliximab
E-MTAB-7604,drug:infliximab,stromal_fibroinflammatory,current_module,False,9,8,-0.5784234019395579,0.24726356550815548,-1.553045232834049,0.3961984289549332,0.6527777777777777,0.3212669683257919,drug,infliximab
