cohort,stratum,signature,signature_type,development_overlap,n_responder,n_non_responder,hedges_g_R_minus_NR,variance_g,ci95_low_g,ci95_high_g,oriented_AUC_response,mannwhitney_p,mannwhitney_fdr_within_cohort
GSE206285_UST,GSE206285_UST_UC_colon,myeloid_inflammation,current_module,False,56,302,-0.6292111103455817,0.021724449760825517,-0.9180997501381276,-0.34032247055303594,0.6950094607379376,3.5544905033251183e-06,7.108981006650237e-06
GSE206285_UST,GSE206285_UST_UC_colon,epithelial_ifn_damage,current_module,False,56,302,-0.44500855721802945,0.021446536831913932,-0.7320434259944214,-0.1579736884416375,0.6304399243140965,0.0019309531384275418,0.0019309531384275418
GSE206285_UST,GSE206285_UST_UC_colon,epithelial_barrier_maturity,current_module,False,56,302,0.5871425606184585,0.021652581453391922,0.2987321639415176,0.8755529572953994,0.6747280037842952,3.272134165915846e-05,4.908201248873769e-05
GSE206285_UST,GSE206285_UST_UC_colon,stromal_fibroinflammatory,current_module,False,56,302,-0.6116650023473742,0.021693870341884917,-0.9003502501612954,-0.322979754533453,0.6681054872280038,6.43694316807706e-05,8.582590890769414e-05
GSE206285_UST,GSE206285_UST_UC_colon,Gaujoux_UC_A_20,published_benchmark,False,56,302,-0.7327716641902989,0.021922550449670883,-1.0229744722529635,-0.44256885612763447,0.7191934720908231,1.8796102149593593e-07,5.638830644878079e-07
GSE206285_UST,GSE206285_UST_UC_colon,Gaujoux_UC_B_20,published_benchmark,False,56,302,-0.7161683302543711,0.021888762198855032,-1.0061474137468214,-0.42618924676192077,0.7219134342478712,1.3236841422865562e-07,5.638830644878079e-07
GSE206285_UST,GSE206285_UST_UC_colon,Gaujoux_UC_B_knn_19,published_benchmark,False,56,302,-0.646363573499943,0.021755179041394755,-0.9354564578907942,-0.35727068910909177,0.7002719962157048,1.926484792345028e-06,4.623563501628067e-06
GSE206285_UST,GSE206285_UST_UC_colon,Gaujoux_IRRAT_29,published_benchmark,False,56,302,-0.5124242511766798,0.021537191322358748,-0.8000651282855729,-0.22478337406778665,0.6602412488174078,0.00013941075678232994,0.00016729290813879592
GSE206285_UST,GSE206285_UST_UC_colon,Gaujoux_UC_AB_53,published_benchmark,False,56,302,-0.7292577111242303,0.02191533485612303,-1.0194127565452642,-0.43910266570319645,0.7273533585619678,6.48530435437704e-08,5.638830644878079e-07
GSE206285_UST,GSE206285_UST_UC_colon,Gaujoux_CDc_20,published_benchmark,False,56,302,-0.7214167520318157,0.021899359183198852,-1.011466020671088,-0.4313674833925434,0.71990302743614,1.7159771246973637e-07,5.638830644878079e-07
GSE206285_UST,GSE206285_UST_UC_colon,West_OSM22,published_benchmark,False,56,302,-0.5948223719572476,0.02166533042486839,-0.8833176637042264,-0.30632708021026883,0.6796948912015137,1.9395070010477447e-05,3.3248691446532765e-05
GSE206285_UST,GSE206285_UST_UC_colon,Belarif_IL7R_10,published_benchmark,False,56,302,-0.4469647989990847,0.021448987555996828,-0.7340160672337285,-0.15991353076444093,0.639131977294229,0.0009419494381528394,0.001027581205257643
