,resident_like_macrophage,inflammatory_monocyte,other_myeloid,stroma,colonic_epithelium
NUCB1,6.709182001869313,5.870113927450602,5.918203059770132,7.082108251247539,5.838723168963297
NUCB1-AS1,0.0,0.10850596886558207,0.03989605638645116,0.0,0.0
NUCB2,5.715233732412532,4.465322800365013,5.470844700933389,6.639636693246079,6.319959672380303
NUCKS1,7.065930044176751,6.395549747755224,7.336137682930289,8.244393949576507,7.4981918799410945
NUDC,6.3945444305049834,6.2638975056450015,6.537829037221326,6.846272063705374,6.43602625483878
NUDCD1,3.648416744331342,3.4070366619232098,4.121285424742365,4.525857177965081,3.425236422008223
NUDCD2,5.2167348519688,4.578128218238934,5.143585276106183,5.618549385491651,5.314560003873545
NUDCD3,3.5959139029838867,3.3856316578355714,3.691187531315081,4.789687541733657,4.497847671132099
NUDT1,5.781379062207837,5.608928811703056,6.119546308178715,4.966589443115789,5.132515869803215
NUDT10,0.0,0.0,0.0,1.2166445524837686,0.0
NUDT11,0.2916854154205314,0.10850596886558207,0.6932078117302021,2.0427966558232646,0.061128899199910415
NUDT12,2.0485753015070443,0.8946998405412794,1.969430343747255,2.9646038122815446,3.5884436358835026
NUDT13,0.5341999884465196,0.7680789913890524,1.1412427878238771,1.4994512616199454,1.2396482003494291
NUDT14,5.225401644162534,4.178423787677798,4.734890403549714,4.358968710113708,4.914947160294305
NUDT15,3.527478780944486,3.3418446774614172,3.5940353272933097,3.937775401996875,4.89943446276122
NUDT16,5.619851149957521,5.5010900973576,5.46444556618603,4.737042835451438,5.410704931951936
NUDT16L1,4.364997960562484,4.215291580889857,4.36062481039482,4.729483171307389,5.159925925445067
NUDT17,0.9231703333250494,1.0110986950338416,2.088349111475133,1.2961265719344903,0.9563507596906264
NUDT18,3.7480161743067266,3.019367040768386,3.1640284674023076,2.7621430043651545,2.6652415938565635
NUDT19,3.7953506813855133,2.79419749398531,3.3658603160062945,2.9943468140870424,3.650332751839213
NUDT2,4.250779011606888,3.7293848252378488,3.943395767126901,4.677610583414807,4.1650214234134255
NUDT21,4.9913880340255234,4.8087181240628345,5.025594274605414,5.2562812644449135,5.181359938356966
NUDT22,5.58660217322261,5.175925052578672,5.523681370466693,5.459331996967844,5.808453237439198
NUDT3,4.4635262286032225,4.656179827651741,4.818983591014653,5.588452175453828,3.6011292358799483
NUDT4,4.754462982256761,5.239946651107401,4.877953885428,6.720777796789639,6.31155081838838
NUDT4B,0.15320183964568132,0.10850596886558207,0.15336308674825527,0.5196514334973673,0.4540312755404034
NUDT5,5.787244568820501,4.8087181240628345,5.455254425642058,5.850551874564061,5.498708137462902
