split,model,auc,brier
42,clinical_Mayo_age,0.375,0.3170113502587785
42,clinical_plus_myeloid,0.5277777777777778,0.26799901706455376
42,clinical_plus_barrier,0.2222222222222222,0.33194672263156183
42,clinical_plus_myeloid_barrier,0.38888888888888884,0.2921052635019605
43,clinical_Mayo_age,0.763888888888889,0.2189968497592013
43,clinical_plus_myeloid,0.7222222222222222,0.21708581042001132
43,clinical_plus_barrier,0.5,0.29372635282134074
43,clinical_plus_myeloid_barrier,0.638888888888889,0.24892404515315367
44,clinical_Mayo_age,0.7666666666666667,0.22947054086753466
44,clinical_plus_myeloid,0.9,0.17373623770599403
44,clinical_plus_barrier,0.7333333333333333,0.21914070930734064
44,clinical_plus_myeloid_barrier,0.9,0.1755594435012215
45,clinical_Mayo_age,0.45714285714285713,0.29038989197797765
45,clinical_plus_myeloid,0.6857142857142857,0.2324998846937312
45,clinical_plus_barrier,0.45714285714285713,0.2846087441951
45,clinical_plus_myeloid_barrier,0.7142857142857143,0.2434431946664499
46,clinical_Mayo_age,0.8285714285714285,0.20910574675588653
46,clinical_plus_myeloid,0.7714285714285715,0.18106320443438526
46,clinical_plus_barrier,0.8857142857142858,0.19380921230951534
46,clinical_plus_myeloid_barrier,0.7714285714285715,0.17975836086377825
47,clinical_Mayo_age,0.7777777777777778,0.22339865895609387
47,clinical_plus_myeloid,0.5833333333333334,0.2607957312946751
47,clinical_plus_barrier,0.5555555555555556,0.2788596179597345
47,clinical_plus_myeloid_barrier,0.49999999999999994,0.29669901610477584
48,clinical_Mayo_age,0.5277777777777778,0.25625738799393444
48,clinical_plus_myeloid,0.44444444444444453,0.3048001483746885
48,clinical_plus_barrier,0.5,0.2604014205016252
48,clinical_plus_myeloid_barrier,0.47222222222222227,0.3031327687698447
49,clinical_Mayo_age,0.29999999999999993,0.32714570725948044
49,clinical_plus_myeloid,0.5666666666666667,0.2634926770279067
49,clinical_plus_barrier,0.39999999999999997,0.30749742931697627
49,clinical_plus_myeloid_barrier,0.5666666666666667,0.2623440137839484
50,clinical_Mayo_age,0.5428571428571428,0.2492123722049162
50,clinical_plus_myeloid,0.4857142857142857,0.27619181888257394
50,clinical_plus_barrier,0.6857142857142857,0.23254539018650203
50,clinical_plus_myeloid_barrier,0.4857142857142857,0.2756936317254926
51,clinical_Mayo_age,0.8285714285714285,0.21406406995525132
51,clinical_plus_myeloid,0.9428571428571428,0.16443252602136926
51,clinical_plus_barrier,0.8,0.21680263666923708
51,clinical_plus_myeloid_barrier,0.8857142857142857,0.17323636782264595
52,clinical_Mayo_age,0.5,0.2537454928394339
52,clinical_plus_myeloid,0.6388888888888888,0.24325767290159114
52,clinical_plus_barrier,0.6111111111111112,0.2624314264729281
52,clinical_plus_myeloid_barrier,0.6111111111111112,0.2514935663483427
53,clinical_Mayo_age,0.6111111111111112,0.24657244251652308
53,clinical_plus_myeloid,0.5833333333333334,0.27703376067537616
53,clinical_plus_barrier,0.6666666666666667,0.2416059293887682
53,clinical_plus_myeloid_barrier,0.5833333333333334,0.27557848974380783
54,clinical_Mayo_age,0.4666666666666666,0.27672742704862135
54,clinical_plus_myeloid,0.6666666666666666,0.22376845634359335
54,clinical_plus_barrier,0.5666666666666667,0.2585160981327918
54,clinical_plus_myeloid_barrier,0.6666666666666666,0.22227056290958436
55,clinical_Mayo_age,0.7428571428571429,0.2169431100257272
55,clinical_plus_myeloid,0.8857142857142857,0.1660678198958976
55,clinical_plus_barrier,0.7142857142857143,0.21338685239926206
55,clinical_plus_myeloid_barrier,0.8857142857142857,0.17395706448881917
56,clinical_Mayo_age,0.39999999999999997,0.27790220438897334
56,clinical_plus_myeloid,0.5714285714285714,0.274830002769898
56,clinical_plus_barrier,0.5142857142857142,0.26039213513709303
56,clinical_plus_myeloid_barrier,0.5142857142857142,0.2920999711881331
57,clinical_Mayo_age,0.8611111111111112,0.21910783079410676
57,clinical_plus_myeloid,0.9166666666666667,0.16661233750707719
57,clinical_plus_barrier,0.8055555555555556,0.20260360472138225
57,clinical_plus_myeloid_barrier,0.9166666666666667,0.1672716568436697
58,clinical_Mayo_age,0.6666666666666667,0.2269730964000832
58,clinical_plus_myeloid,0.2777777777777778,0.33157139061159663
58,clinical_plus_barrier,0.5555555555555556,0.24992960988945048
58,clinical_plus_myeloid_barrier,0.2222222222222222,0.3287433956890164
59,clinical_Mayo_age,0.3333333333333333,0.34152470728860146
59,clinical_plus_myeloid,0.39999999999999997,0.29582759367980654
59,clinical_plus_barrier,0.36666666666666664,0.34922163354757235
59,clinical_plus_myeloid_barrier,0.4333333333333333,0.309755433845537
60,clinical_Mayo_age,0.5428571428571428,0.2677350046191097
60,clinical_plus_myeloid,0.5714285714285714,0.28019769912899
60,clinical_plus_barrier,0.5428571428571428,0.3520250007025278
60,clinical_plus_myeloid_barrier,0.48571428571428565,0.3366330149189926
61,clinical_Mayo_age,0.7571428571428571,0.2225210420383433
61,clinical_plus_myeloid,0.7142857142857143,0.21478524308380434
61,clinical_plus_barrier,0.657142857142857,0.22691825904731844
61,clinical_plus_myeloid_barrier,0.7142857142857143,0.21627961276804586
62,clinical_Mayo_age,0.6944444444444444,0.23351093548344537
62,clinical_plus_myeloid,0.8611111111111112,0.2106450494521891
62,clinical_plus_barrier,0.8333333333333334,0.21316364638783117
62,clinical_plus_myeloid_barrier,0.8333333333333334,0.21627372359158062
63,clinical_Mayo_age,0.4166666666666667,0.2788231641052183
63,clinical_plus_myeloid,0.7222222222222222,0.2314222695084107
63,clinical_plus_barrier,0.5000000000000001,0.2707248898890969
63,clinical_plus_myeloid_barrier,0.75,0.23332040288755698
64,clinical_Mayo_age,0.6166666666666667,0.2296654848286751
64,clinical_plus_myeloid,0.7666666666666666,0.18374192387147287
64,clinical_plus_barrier,0.7,0.2095687849173978
64,clinical_plus_myeloid_barrier,0.7666666666666666,0.18467394111868163
65,clinical_Mayo_age,0.3142857142857143,0.2741416449291174
65,clinical_plus_myeloid,0.5714285714285714,0.23751369560652236
65,clinical_plus_barrier,0.48571428571428565,0.2568556362826649
65,clinical_plus_myeloid_barrier,0.5714285714285714,0.24446584331489596
66,clinical_Mayo_age,0.8,0.21420885666279268
66,clinical_plus_myeloid,0.9142857142857144,0.15493166428535182
66,clinical_plus_barrier,0.8,0.19571252300416286
66,clinical_plus_myeloid_barrier,0.9142857142857144,0.15287575723113975
67,clinical_Mayo_age,0.7222222222222223,0.22672722421982253
67,clinical_plus_myeloid,0.5555555555555556,0.28308508287275164
67,clinical_plus_barrier,0.7222222222222222,0.2302845158375708
67,clinical_plus_myeloid_barrier,0.5555555555555556,0.28049897886166697
68,clinical_Mayo_age,0.4027777777777778,0.2800812878704836
68,clinical_plus_myeloid,0.6944444444444445,0.2256730786303216
68,clinical_plus_barrier,0.4722222222222222,0.2810645192410262
68,clinical_plus_myeloid_barrier,0.6111111111111112,0.23517842013958323
69,clinical_Mayo_age,0.7333333333333334,0.22337923152921887
69,clinical_plus_myeloid,0.6,0.26874417767856923
69,clinical_plus_barrier,0.4,0.2761616622660385
69,clinical_plus_myeloid_barrier,0.5666666666666667,0.2908453062433556
70,clinical_Mayo_age,0.7285714285714285,0.22746099443394416
70,clinical_plus_myeloid,0.6571428571428571,0.224157126561811
70,clinical_plus_barrier,0.8,0.21775614028177412
70,clinical_plus_myeloid_barrier,0.6571428571428571,0.2423524232627122
71,clinical_Mayo_age,0.45714285714285713,0.2998424623652175
71,clinical_plus_myeloid,0.5142857142857142,0.27704372326651067
71,clinical_plus_barrier,0.42857142857142855,0.292610158703067
71,clinical_plus_myeloid_barrier,0.5428571428571428,0.27561052930328833
72,clinical_Mayo_age,0.6944444444444444,0.25561484454858435
72,clinical_plus_myeloid,0.638888888888889,0.24927250089266326
