geo_accession,resident_like_macrophage,inflammatory_monocyte,other_myeloid,stroma,colonic_epithelium
GSM578812,0.0,0.12016354439677847,0.042880227524608745,0.15876065067658413,0.6781955774020286
GSM578813,0.0,0.05007464341521042,0.058848235290116055,0.2045662378092178,0.6865108834854557
GSM578814,0.054761083963999466,0.0,0.03551239526556475,0.10334079971376173,0.806385721056674
GSM578815,0.009421030620959666,0.0,0.08248319998576539,0.19444473461116157,0.7136510347821133
GSM578816,0.14137103186071895,0.0,0.047198097162091966,0.13054330790552754,0.6808875630716615
GSM578817,0.061887500169403045,0.009775614893477894,0.07891777604332952,0.1312491802598876,0.7181699286339019
GSM578818,0.014324823665246785,0.01737035533451466,0.04723882455073298,0.15352876866544912,0.7675372277840564
GSM578819,0.0,0.008294536330864901,0.08705072239418316,0.12566049097142198,0.7789942503035299
GSM578820,0.008844402236272933,0.0004476619428845103,0.07421433651865354,0.09626949453677902,0.82022410476541
GSM578821,0.00942308916751564,0.08542426332541,0.06340104509786758,0.04213826661862246,0.7996133357905842
GSM578822,0.0,0.02278745221631157,0.08807663635570462,0.09781204138540041,0.7913238700425834
GSM578823,0.0,0.0,0.0715996949762641,0.16823795095711036,0.7601623540666256
GSM578824,0.0,0.0,0.107274124184437,0.10699471410929369,0.7857311617062693
GSM578825,0.0,0.0,0.09176311612836369,0.24834950033619754,0.6598873835354389
